fecha_corte,vigencia,banco,operaciones,monto_usd,tco
2026-06-26,2026-06-29,BANCO BISA,85,3957089,9.72
2026-06-26,2026-06-29,BANCO DE CRÉDITO,15,21481,9.46
2026-06-26,2026-06-29,BANCO DE LA NACIÓN ARGENTINA,1,7425,9.70
2026-06-26,2026-06-29,BANCO ECONÓMICO,11,5194132,9.77
2026-06-26,2026-06-29,BANCO FIE,,,
2026-06-26,2026-06-29,BANCO FORTALEZA,1,400000,9.82
2026-06-26,2026-06-29,BANCO GANADERO,147,3046253,9.78
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,22,3150669,9.64
2026-06-26,2026-06-29,BANCO NACIONAL DE BOLIVIA,2,1440469,9.75
2026-06-26,2026-06-29,BANCO PRODEM,,,
2026-06-26,2026-06-29,BANCO PYME DE LA COMUNIDAD,,,
2026-06-26,2026-06-29,BANCO PYME ECOFUTURO,,,
2026-06-26,2026-06-29,BANCO SOLIDARIO,4,105300,9.63
2026-06-26,2026-06-29,BANCO UNION,2,650,9.05
2026-06-26,2026-06-29,TOTAL BANCOS,290,17323468,9.73
2026-06-29,2026-06-30,BANCO BISA,5,2707410,9.73
2026-06-29,2026-06-30,BANCO DE CRÉDITO,15,99697,9.67
2026-06-29,2026-06-30,BANCO DE LA NACIÓN ARGENTINA,23,8870,9.63
2026-06-29,2026-06-30,BANCO ECONÓMICO,51,418104,9.79
2026-06-29,2026-06-30,BANCO FIE,21,105419,9.73
2026-06-29,2026-06-30,BANCO FORTALEZA,9,123435,9.73
2026-06-29,2026-06-30,BANCO GANADERO,826,1721370,9.70
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,239,9831975,9.80
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,297,1421597,9.59
2026-06-29,2026-06-30,BANCO PRODEM,21,10687,9.63
2026-06-29,2026-06-30,BANCO PYME DE LA COMUNIDAD,8,7544,9.73
2026-06-29,2026-06-30,BANCO PYME ECOFUTURO,1,730,9.73
2026-06-29,2026-06-30,BANCO SOLIDARIO,27,246271,9.73
2026-06-29,2026-06-30,BANCO UNION,116,676658,9.73
2026-06-29,2026-06-30,TOTAL BANCOS,1659,17379767,9.76
2026-06-30,2026-07-01,BANCO BISA,59,1521341,9.79
2026-06-30,2026-07-01,BANCO DE CRÉDITO,20,2024916,9.78
2026-06-30,2026-07-01,BANCO DE LA NACIÓN ARGENTINA,26,6332,9.66
2026-06-30,2026-07-01,BANCO ECONÓMICO,34,114942,9.72
2026-06-30,2026-07-01,BANCO FIE,12,11564,9.66
2026-06-30,2026-07-01,BANCO FORTALEZA,3,169833,9.71
2026-06-30,2026-07-01,BANCO GANADERO,636,2793562,9.73
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,177,1250939,9.77
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,189,492923,9.57
2026-06-30,2026-07-01,BANCO PRODEM,9,3759,9.56
2026-06-30,2026-07-01,BANCO PYME DE LA COMUNIDAD,3,244,9.76
2026-06-30,2026-07-01,BANCO PYME ECOFUTURO,6,602,9.76
2026-06-30,2026-07-01,BANCO SOLIDARIO,32,1908014,9.79
2026-06-30,2026-07-01,BANCO UNION,100,96187,9.76
2026-06-30,2026-07-01,TOTAL BANCOS,1306,10395157,9.76
2026-07-01,2026-07-02,BANCO BISA,70,14976501,9.79
2026-07-01,2026-07-02,BANCO DE CRÉDITO,36,993657,9.77
2026-07-01,2026-07-02,BANCO DE LA NACIÓN ARGENTINA,26,16886,9.66
2026-07-01,2026-07-02,BANCO ECONÓMICO,30,211466,9.76
2026-07-01,2026-07-02,BANCO FIE,15,8284,9.66
2026-07-01,2026-07-02,BANCO FORTALEZA,4,96871,9.75
2026-07-01,2026-07-02,BANCO GANADERO,592,5914983,9.78
2026-07-01,2026-07-02,BANCO MERCANTIL SANTA CRUZ,360,406827,9.56
2026-07-01,2026-07-02,BANCO NACIONAL DE BOLIVIA,2008,2980659,9.75
2026-07-01,2026-07-02,BANCO PRODEM,13,5846,9.36
2026-07-01,2026-07-02,BANCO PYME DE LA COMUNIDAD,3,216,9.76
2026-07-01,2026-07-02,BANCO PYME ECOFUTURO,3,3620,9.36
2026-07-01,2026-07-02,BANCO SOLIDARIO,23,2633673,9.76
2026-07-01,2026-07-02,BANCO UNION,74,1623334,9.89
2026-07-01,2026-07-02,TOTAL BANCOS,3257,29872825,9.78
2026-07-02,2026-07-03,BANCO BISA,54,8452401,9.81
2026-07-02,2026-07-03,BANCO DE CRÉDITO,36,1239519,9.86
2026-07-02,2026-07-03,BANCO DE LA NACIÓN ARGENTINA,24,27711,9.77
2026-07-02,2026-07-03,BANCO ECONÓMICO,36,1620163,9.78
2026-07-02,2026-07-03,BANCO FIE,12,40169,9.68
2026-07-02,2026-07-03,BANCO FORTALEZA,2,16,9.78
2026-07-02,2026-07-03,BANCO GANADERO,551,5565363,9.78
2026-07-02,2026-07-03,BANCO MERCANTIL SANTA CRUZ,193,938532,9.72
2026-07-02,2026-07-03,BANCO NACIONAL DE BOLIVIA,1101,2567310,9.78
2026-07-02,2026-07-03,BANCO PRODEM,8,4502,9.48
2026-07-02,2026-07-03,BANCO PYME DE LA COMUNIDAD,3,2262,9.78
2026-07-02,2026-07-03,BANCO PYME ECOFUTURO,2,2640,9.38
2026-07-02,2026-07-03,BANCO SOLIDARIO,37,431372,9.77
2026-07-02,2026-07-03,BANCO UNION,75,209115,9.78
2026-07-02,2026-07-03,TOTAL BANCOS,2134,21101076,9.80
2026-07-03,2026-07-06,BANCO BISA,51,2150476,9.84
2026-07-03,2026-07-06,BANCO DE CRÉDITO,24,1465788,9.88
2026-07-03,2026-07-06,BANCO DE LA NACIÓN ARGENTINA,10,11336,9.70
2026-07-03,2026-07-06,BANCO ECONÓMICO,38,1754919,9.89
2026-07-03,2026-07-06,BANCO FIE,8,761,9.70
2026-07-03,2026-07-06,BANCO FORTALEZA,3,1133622,9.81
2026-07-03,2026-07-06,BANCO GANADERO,569,8446426,9.81
2026-07-03,2026-07-06,BANCO MERCANTIL SANTA CRUZ,150,3817857,9.84
2026-07-03,2026-07-06,BANCO NACIONAL DE BOLIVIA,1075,2165993,9.80
2026-07-03,2026-07-06,BANCO PRODEM,7,18491,9.70
2026-07-03,2026-07-06,BANCO PYME DE LA COMUNIDAD,3,64,9.80
2026-07-03,2026-07-06,BANCO PYME ECOFUTURO,5,3815,9.40
2026-07-03,2026-07-06,BANCO SOLIDARIO,22,802413,9.85
2026-07-03,2026-07-06,BANCO UNION,83,318733,9.80
2026-07-03,2026-07-06,TOTAL BANCOS,2048,22090693,9.83
2026-07-06,2026-07-07,BANCO BISA,55,3646488,9.88
2026-07-06,2026-07-07,BANCO DE CRÉDITO,12,1393544,9.93
2026-07-06,2026-07-07,BANCO DE LA NACIÓN ARGENTINA,30,17609,9.80
2026-07-06,2026-07-07,BANCO ECONÓMICO,28,1198507,9.89
2026-07-06,2026-07-07,BANCO FIE,17,15603,9.73
2026-07-06,2026-07-07,BANCO FORTALEZA,9,13299,9.76
2026-07-06,2026-07-07,BANCO GANADERO,562,1696172,9.71
2026-07-06,2026-07-07,BANCO MERCANTIL SANTA CRUZ,212,2540863,10.00
2026-07-06,2026-07-07,BANCO NACIONAL DE BOLIVIA,172,153596,9.80
2026-07-06,2026-07-07,BANCO PRODEM,9,4406,9.73
2026-07-06,2026-07-07,BANCO PYME DE LA COMUNIDAD,4,7049,9.83
2026-07-06,2026-07-07,BANCO PYME ECOFUTURO,3,47414,9.43
2026-07-06,2026-07-07,BANCO SOLIDARIO,34,962170,9.90
2026-07-06,2026-07-07,BANCO UNION,64,180125,9.83
2026-07-06,2026-07-07,TOTAL BANCOS,1211,11876844,9.89
2026-07-07,2026-07-08,BANCO BISA,65,5791895,9.97
2026-07-07,2026-07-08,BANCO DE CRÉDITO,20,818300,9.91
2026-07-07,2026-07-08,BANCO DE LA NACIÓN ARGENTINA,11,33464,9.82
2026-07-07,2026-07-08,BANCO ECONÓMICO,29,1336920,9.99
2026-07-07,2026-07-08,BANCO FIE,25,14763,9.79
