fecha_corte,vigencia,banco,tc,operaciones,monto_usd
2026-06-26,2026-06-29,BANCO BISA,8.5000,12,22524
2026-06-26,2026-06-29,BANCO BISA,9.0000,37,82783
2026-06-26,2026-06-29,BANCO BISA,9.1500,1,14965
2026-06-26,2026-06-29,BANCO BISA,9.2000,1,249965
2026-06-26,2026-06-29,BANCO BISA,9.5000,5,43654
2026-06-26,2026-06-29,BANCO BISA,9.6000,3,220425
2026-06-26,2026-06-29,BANCO BISA,9.6500,1,5507
2026-06-26,2026-06-29,BANCO BISA,9.7000,7,14864
2026-06-26,2026-06-29,BANCO BISA,9.7150,1,60000
2026-06-26,2026-06-29,BANCO BISA,9.7500,8,146317
2026-06-26,2026-06-29,BANCO BISA,9.7600,1,1054
2026-06-26,2026-06-29,BANCO BISA,9.7800,3,591315
2026-06-26,2026-06-29,BANCO BISA,9.8000,3,3717
2026-06-26,2026-06-29,BANCO BISA,9.8100,1,500000
2026-06-26,2026-06-29,BANCO BISA,9.8120,1,2000000
2026-06-26,2026-06-29,BANCO DE CRÉDITO,9.1000,2,2379
2026-06-26,2026-06-29,BANCO DE CRÉDITO,9.5000,13,19102
2026-06-26,2026-06-29,BANCO DE LA NACIÓN ARGENTINA,9.7000,1,7425
2026-06-26,2026-06-29,BANCO ECONÓMICO,7.2000,4,10107
2026-06-26,2026-06-29,BANCO ECONÓMICO,9.7300,1,2000000
2026-06-26,2026-06-29,BANCO ECONÓMICO,9.7600,1,40000
2026-06-26,2026-06-29,BANCO ECONÓMICO,9.8000,4,1144025
2026-06-26,2026-06-29,BANCO ECONÓMICO,9.8100,1,2000000
2026-06-26,2026-06-29,BANCO FORTALEZA,9.8200,1,400000
2026-06-26,2026-06-29,BANCO GANADERO,7.0000,5,5743
2026-06-26,2026-06-29,BANCO GANADERO,7.0100,1,197
2026-06-26,2026-06-29,BANCO GANADERO,8.0000,1,5000
2026-06-26,2026-06-29,BANCO GANADERO,9.3200,1,107
2026-06-26,2026-06-29,BANCO GANADERO,9.5000,1,5005
2026-06-26,2026-06-29,BANCO GANADERO,9.6000,63,32733
2026-06-26,2026-06-29,BANCO GANADERO,9.6300,1,30465
2026-06-26,2026-06-29,BANCO GANADERO,9.7000,71,214200
2026-06-26,2026-06-29,BANCO GANADERO,9.7300,2,752803
2026-06-26,2026-06-29,BANCO GANADERO,9.8200,1,2000000
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,7.2000,2,2901
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,7.5000,7,13240
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,8.0000,1,2000
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,8.4000,3,1000
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,8.7000,1,4834
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,8.8500,2,478750
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,9.6500,2,93295
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,9.7400,1,54792
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,9.8000,2,999857
2026-06-26,2026-06-29,BANCO MERCANTIL SANTA CRUZ,9.8100,1,1500000
2026-06-26,2026-06-29,BANCO NACIONAL DE BOLIVIA,8.2000,1,469
2026-06-26,2026-06-29,BANCO NACIONAL DE BOLIVIA,9.7500,1,1440000
2026-06-26,2026-06-29,BANCO SOLIDARIO,7.5000,2,5300
2026-06-26,2026-06-29,BANCO SOLIDARIO,9.7400,2,100000
2026-06-26,2026-06-29,BANCO UNION,9.0500,2,650
2026-06-29,2026-06-30,BANCO BISA,9.7000,2,410
2026-06-29,2026-06-30,BANCO BISA,9.7200,1,507000
2026-06-29,2026-06-30,BANCO BISA,9.7300,1,1500000
2026-06-29,2026-06-30,BANCO BISA,9.7310,1,700000
2026-06-29,2026-06-30,BANCO DE CRÉDITO,9.6300,11,88037
2026-06-29,2026-06-30,BANCO DE CRÉDITO,9.9000,1,700
2026-06-29,2026-06-30,BANCO DE CRÉDITO,9.9900,1,9000
2026-06-29,2026-06-30,BANCO DE CRÉDITO,10.0700,1,1664
2026-06-29,2026-06-30,BANCO DE CRÉDITO,10.1100,1,296
2026-06-29,2026-06-30,BANCO DE LA NACIÓN ARGENTINA,9.6300,23,8870
2026-06-29,2026-06-30,BANCO ECONÓMICO,9.7300,46,86920
2026-06-29,2026-06-30,BANCO ECONÓMICO,9.8000,1,330174
2026-06-29,2026-06-30,BANCO ECONÓMICO,9.9100,4,1010
2026-06-29,2026-06-30,BANCO FIE,9.7300,21,105419
2026-06-29,2026-06-30,BANCO FORTALEZA,9.7300,9,123435
2026-06-29,2026-06-30,BANCO GANADERO,9.6300,253,438730
2026-06-29,2026-06-30,BANCO GANADERO,9.7000,73,300885
2026-06-29,2026-06-30,BANCO GANADERO,9.7200,16,13752
2026-06-29,2026-06-30,BANCO GANADERO,9.7300,483,966621
2026-06-29,2026-06-30,BANCO GANADERO,9.8200,1,1382
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.6700,1,0
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.6800,232,445169
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.6900,1,1
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.7200,1,49000
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.7800,2,3885
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.8050,1,7655708
2026-06-29,2026-06-30,BANCO MERCANTIL SANTA CRUZ,9.8100,1,1678212
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,8.0000,1,34975
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,8.3000,1,49204
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,8.5000,2,92667
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.1000,1,30000
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.7000,1,21410
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.7250,1,1
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.7300,286,193334
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.7320,2,5
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.7410,1,0
2026-06-29,2026-06-30,BANCO NACIONAL DE BOLIVIA,9.7900,1,1000000
2026-06-29,2026-06-30,BANCO PRODEM,9.6300,21,10687
2026-06-29,2026-06-30,BANCO PYME DE LA COMUNIDAD,9.2300,1,2
2026-06-29,2026-06-30,BANCO PYME DE LA COMUNIDAD,9.7300,7,7542
2026-06-29,2026-06-30,BANCO PYME ECOFUTURO,9.7300,1,730
2026-06-29,2026-06-30,BANCO SOLIDARIO,9.2400,20,5589
2026-06-29,2026-06-30,BANCO SOLIDARIO,9.6600,1,11538
2026-06-29,2026-06-30,BANCO SOLIDARIO,9.7000,2,115
2026-06-29,2026-06-30,BANCO SOLIDARIO,9.7200,1,19095
2026-06-29,2026-06-30,BANCO SOLIDARIO,9.7500,3,209935
2026-06-29,2026-06-30,BANCO UNION,9.7300,116,676658
2026-06-30,2026-07-01,BANCO BISA,9.6600,43,87397
2026-06-30,2026-07-01,BANCO BISA,9.7000,1,100000
2026-06-30,2026-07-01,BANCO BISA,9.7300,1,200000
2026-06-30,2026-07-01,BANCO BISA,9.7500,9,129806
2026-06-30,2026-07-01,BANCO BISA,9.8000,4,2342
2026-06-30,2026-07-01,BANCO BISA,9.8300,1,1001797
2026-06-30,2026-07-01,BANCO DE CRÉDITO,9.6600,17,37197
2026-06-30,2026-07-01,BANCO DE CRÉDITO,9.7600,1,10000
2026-06-30,2026-07-01,BANCO DE CRÉDITO,9.7800,2,1977718
2026-06-30,2026-07-01,BANCO DE LA NACIÓN ARGENTINA,9.6600,26,6332
2026-06-30,2026-07-01,BANCO ECONÓMICO,9.6600,31,9356
2026-06-30,2026-07-01,BANCO ECONÓMICO,9.7200,1,105560
2026-06-30,2026-07-01,BANCO ECONÓMICO,9.8400,2,26
2026-06-30,2026-07-01,BANCO FIE,9.6600,12,11564
2026-06-30,2026-07-01,BANCO FORTALEZA,9.7100,1,167387
2026-06-30,2026-07-01,BANCO FORTALEZA,9.7300,1,2445
2026-06-30,2026-07-01,BANCO FORTALEZA,9.7600,1,1
2026-06-30,2026-07-01,BANCO GANADERO,9.6300,6,62823
2026-06-30,2026-07-01,BANCO GANADERO,9.6600,163,161961
2026-06-30,2026-07-01,BANCO GANADERO,9.7000,278,304112
2026-06-30,2026-07-01,BANCO GANADERO,9.7300,114,1250413
2026-06-30,2026-07-01,BANCO GANADERO,9.7301,1,600000
2026-06-30,2026-07-01,BANCO GANADERO,9.7600,68,14269
2026-06-30,2026-07-01,BANCO GANADERO,9.8100,1,399975
2026-06-30,2026-07-01,BANCO GANADERO,9.8300,5,9
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,9.5500,1,1
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,9.5600,168,257401
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,9.8200,1,900000
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,9.8600,3,83334
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,10.2100,3,9354
2026-06-30,2026-07-01,BANCO MERCANTIL SANTA CRUZ,11.7600,1,850
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,8.3000,1,961
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,9.0000,1,126000
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,9.7600,184,256505
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,9.7610,1,1
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,9.7850,1,109456
2026-06-30,2026-07-01,BANCO NACIONAL DE BOLIVIA,9.8000,1,0
2026-06-30,2026-07-01,BANCO PRODEM,9.5600,9,3759
2026-06-30,2026-07-01,BANCO PYME DE LA COMUNIDAD,9.7600,3,244
2026-06-30,2026-07-01,BANCO PYME ECOFUTURO,9.7600,6,602
2026-06-30,2026-07-01,BANCO SOLIDARIO,9.2700,24,3584
2026-06-30,2026-07-01,BANCO SOLIDARIO,9.7000,2,24275
2026-06-30,2026-07-01,BANCO SOLIDARIO,9.7200,3,144498
2026-06-30,2026-07-01,BANCO SOLIDARIO,9.7300,1,112990
2026-06-30,2026-07-01,BANCO SOLIDARIO,9.7500,1,22763
2026-06-30,2026-07-01,BANCO SOLIDARIO,9.8000,1,1599905
2026-06-30,2026-07-01,BANCO UNION,9.7600,100,96187
2026-07-01,2026-07-02,BANCO BISA,9.6600,33,139166
2026-07-01,2026-07-02,BANCO BISA,9.6800,1,50000
2026-07-01,2026-07-02,BANCO BISA,9.7000,3,404965
2026-07-01,2026-07-02,BANCO BISA,9.7100,1,2781
2026-07-01,2026-07-02,BANCO BISA,9.7300,1,50000
2026-07-01,2026-07-02,BANCO BISA,9.7500,10,129840
2026-07-01,2026-07-02,BANCO BISA,9.7550,1,91000
2026-07-01,2026-07-02,BANCO BISA,9.7600,3,196804
2026-07-01,2026-07-02,BANCO BISA,9.7650,1,70000
2026-07-01,2026-07-02,BANCO BISA,9.7700,1,1484555
2026-07-01,2026-07-02,BANCO BISA,9.7800,4,534140
2026-07-01,2026-07-02,BANCO BISA,9.7950,1,10000000
2026-07-01,2026-07-02,BANCO BISA,9.8000,10,1823250
2026-07-01,2026-07-02,BANCO DE CRÉDITO,9.6599,1,43
2026-07-01,2026-07-02,BANCO DE CRÉDITO,9.6600,31,72182
2026-07-01,2026-07-02,BANCO DE CRÉDITO,9.7000,2,220502
2026-07-01,2026-07-02,BANCO DE CRÉDITO,9.7600,1,1000
2026-07-01,2026-07-02,BANCO DE CRÉDITO,9.8000,1,699930
2026-07-01,2026-07-02,BANCO DE LA NACIÓN ARGENTINA,9.6600,26,16886
2026-07-01,2026-07-02,BANCO ECONÓMICO,9.6600,29,37026
2026-07-01,2026-07-02,BANCO ECONÓMICO,9.7800,1,174440
2026-07-01,2026-07-02,BANCO FIE,9.6600,15,8284
2026-07-01,2026-07-02,BANCO FORTALEZA,9.7300,1,29975
