fecha_corte,vigencia,BANCO BISA Monto,BANCO DE CRÉDITO Monto,BANCO DE LA NACIÓN ARGENTINA Monto,BANCO ECONÓMICO Monto,BANCO FIE Monto,BANCO FORTALEZA Monto,BANCO GANADERO Monto,BANCO MERCANTIL SANTA CRUZ Monto,BANCO NACIONAL DE BOLIVIA Monto,BANCO PRODEM Monto,BANCO PYME DE LA COMUNIDAD Monto,BANCO PYME ECOFUTURO Monto,BANCO SOLIDARIO Monto,BANCO UNION Monto,TOTAL BANCOS Monto
2026-06-26,2026-06-27 al 2026-06-29,3957089,21481,7425,5194132,,400000,3046253,3150669,1440469,,,,105300,650,17323468
2026-06-29,2026-06-30,2707410,99697,8870,418104,105419,123435,1721370,9831975,1421597,10687,7544,730,246271,676658,17379767
2026-06-30,2026-07-01,1521341,2024916,6332,114942,11564,169833,2793562,1250939,492923,3759,244,602,1908014,96187,10395157
2026-07-01,2026-07-02,14976501,993657,16886,211466,8284,96871,5914983,406827,2980659,5846,216,3620,2633673,1623334,29872825
2026-07-02,2026-07-03,8452401,1239519,27711,1620163,40169,16,5565363,938532,2567310,4502,2262,2640,431372,209115,21101076
2026-07-03,2026-07-04 al 2026-07-06,2150476,1465788,11336,1754919,761,1133622,8446426,3817857,2165993,18491,64,3815,802413,318733,22090693
2026-07-06,2026-07-07,3646488,1393544,17609,1198507,15603,13299,1696172,2540863,153596,4406,7049,47414,962170,180125,11876844
2026-07-07,2026-07-08,5791895,818300,33464,1336920,14763,200,6275603,1041185,5858183,13867,2000,107,2513272,159336,23859096
2026-07-08,2026-07-09,3680119,1264766,3320,35333,12445,425000,6582110,11639754,3606295,57246,1101,422,1099352,47994,28455257
2026-07-09,2026-07-10,3902015,5187313,2932,724752,31651,1814,4104284,9884451,3667634,70219,570,10,2131145,59816,29768606
2026-07-10,2026-07-11 al 2026-07-13,8250425,5834653,5190,3806369,4985,48871,3484965,800634,10288924,3750,68,112,4015518,339509,36883973
2026-07-13,2026-07-14,2289085,256829,2526,432291,398680,70,1560817,3619878,442571,19587,252,99,2250803,254558,11528045
2026-07-14,2026-07-15,11966870,4822134,9320,2962605,2222232,50545,5196937,14928796,392776,11639,2129,1146,316661,104882,42988673
2026-07-15,2026-07-16 al 2026-07-17,302164,3198820,89048,457222,4732,654089,7088776,934189,2835854,13772,1074,600,2004616,543561,18128517
2026-07-17,2026-07-18 al 2026-07-20,8439237,1705266,133165,39890,5701,812621,10013630,6464449,7903358,1485,1211,585421,671115,1040058,37816606
2026-07-20,2026-07-21,6294201,1724580,2739,65265,4003,63063,4292292,1003630,263127,3923,457,6050,695397,838491,15257217
2026-07-21,2026-07-22,8519844,840759,55805,10840,427580,101420,4328290,664484,1157721,6503,1676,200187,7887965,619773,24822845
2026-07-22,2026-07-23,10191351,4166320,5106,2129943,4591,104772,10339224,3134714,6776276,12127,1178,1520,1991354,179799,39038276
2026-07-23,2026-07-24,10524285,556143,20972,443327,2814,546641,6866825,3743530,3687810,103793,6085,470,2006683,55282,28564660
2026-07-24,2026-07-25 al 2026-07-27,12716265,4815867,7462,1922257,3355,986507,9615144,823926,6862876,2634,142044,2980,460326,35890,38397534
2026-07-27,2026-07-28,3636725,4096951,12619,3088493,46440,1067063,4163882,3158392,507386,22014,5293,350,1281388,53381,21140379
2026-07-28,2026-07-29,8944464,1318312,24807,1863927,3025087,2000224,11345343,4864421,2514828,5435,426,242466,2661721,42014,38853476
2026-07-29,2026-07-30,8978675,9214129,126013,1308703,3769,329802,3801257,3788154,12769237,25950,6397,102330,1091580,113341,41659337
2026-07-30,2026-07-31,13240160,7088267,17861,155918,525380,1244318,11208390,2275041,1483401,11361,5585,660,556276,913229,38725847
2026-07-31,2026-08-01 al 2026-08-03,7245017,2089165,111039,2599071,551965,576982,9927452,5698732,6795664,76628,26442,220289,3173792,2070157,41162394
2026-08-03,2026-08-04,2841500,1976995,103665,1252144,55907,1504777,5863479,3372165,2757615,43765,6283,26160,1577317,5433130,26814902
2026-08-04,2026-08-05,106804901,1990108,2533,4143980,1066948,337142,13239973,5251692,14858962,160064,26452,14353,3326125,8717523,159940755
2026-08-05,2026-08-06 al 2026-08-10,30301395,1650749,13769,1960611,213463,105065,13107514,6707597,4040013,288044,58829,2714,1143658,889618,60483040
2026-08-10,2026-08-11,19752071,2235624,11516,48413,347302,30067,26287525,9453503,2739404,349500,47533,3316,1154983,248412,62709169
2026-08-11,2026-08-12,72570741,1028144,580,718615,909124,148428,11845324,1133686,910171,409921,8301,200,5907069,665315,96255618
2026-08-12,2026-08-13,12318126,5910414,1350,531240,187612,2471870,8382354,5048105,3082805,271193,8462,,647140,51181,38911851
2026-08-13,2026-08-14,12770296,4781021,145788,1144155,77182,212246,5781733,10821109,2871760,177954,13401,1500,3281690,18225,42098061
2026-08-14,2026-08-15 al 2026-08-17,12800668,3040586,32075,782249,1086452,241180,11167635,5524586,1159765,50458,,1,370467,59954,36316075
2026-08-17,2026-08-18,6497350,2323703,2332,333053,240087,335475,12645125,3791902,2431329,6305,247,251,613136,58751,29279047
2026-08-18,2026-08-19,51436770,1522230,2763,403708,48587,124681,6293207,4160935,2002197,12065,1940,2551,3386444,61103,69459180
2026-08-19,2026-08-20,12808358,2130880,17136,990300,217172,738265,4172245,11919870,309847,4698,10000,180,898169,80369,34297489
2026-08-20,2026-08-21,7939410,3532604,120321,1492326,14575,98086,7434731,3748640,5039002,13867,1104,,3189295,87131,32711090
2026-08-21,2026-08-22 al 2026-08-24,5066455,1863695,31836,557386,149951,63890,5501680,1245373,1562296,8319,1029,,1622604,3765,17678278
