fecha_corte,vigencia,BANCO BISA Precio,BANCO BISA Monto,BANCO DE CRÉDITO Precio,BANCO DE CRÉDITO Monto,BANCO DE LA NACIÓN ARGENTINA Precio,BANCO DE LA NACIÓN ARGENTINA Monto,BANCO ECONÓMICO Precio,BANCO ECONÓMICO Monto,BANCO FIE Precio,BANCO FIE Monto,BANCO FORTALEZA Precio,BANCO FORTALEZA Monto,BANCO GANADERO Precio,BANCO GANADERO Monto,BANCO MERCANTIL SANTA CRUZ Precio,BANCO MERCANTIL SANTA CRUZ Monto,BANCO NACIONAL DE BOLIVIA Precio,BANCO NACIONAL DE BOLIVIA Monto,BANCO PRODEM Precio,BANCO PRODEM Monto,BANCO PYME DE LA COMUNIDAD Precio,BANCO PYME DE LA COMUNIDAD Monto,BANCO PYME ECOFUTURO Precio,BANCO PYME ECOFUTURO Monto,BANCO SOLIDARIO Precio,BANCO SOLIDARIO Monto,BANCO UNION Precio,BANCO UNION Monto
2026-06-26,2026-06-27 al 2026-06-29,8.5000,22524,9.1000,2379,9.7000,7425,7.2000,10107,,,9.8200,400000,7.0000,5743,7.2000,2901,8.2000,469,,,,,,,7.5000,5300,9.0500,650
2026-06-26,2026-06-27 al 2026-06-29,9.0000,82783,9.5000,19102,,,9.7300,2000000,,,,,7.0100,197,7.5000,13240,9.7500,1440000,,,,,,,9.7400,100000,,
2026-06-26,2026-06-27 al 2026-06-29,9.1500,14965,,,,,9.7600,40000,,,,,8.0000,5000,8.0000,2000,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.2000,249965,,,,,9.8000,1144025,,,,,9.3200,107,8.4000,1000,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.5000,43654,,,,,9.8100,2000000,,,,,9.5000,5005,8.7000,4834,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.6000,220425,,,,,,,,,,,9.6000,32733,8.8500,478750,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.6500,5507,,,,,,,,,,,9.6300,30465,9.6500,93295,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.7000,14864,,,,,,,,,,,9.7000,214200,9.7400,54792,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.7150,60000,,,,,,,,,,,9.7300,752803,9.8000,999857,,,,,,,,,,,,
2026-06-26,2026-06-27 al 2026-06-29,9.7500,146317,,,,,,,,,,,9.8200,2000000,9.8100,1500000,,,,,,,,,,,,
