fecha_corte,vigencia,tco_compra,tco_venta
,2026-06-01,6.86,6.96
,2026-06-02,6.86,6.96
,2026-06-03,6.86,6.96
,2026-06-08,6.86,6.96
,2026-06-09,6.86,6.96
,2026-06-10,6.86,6.96
,2026-06-11,6.86,6.96
,2026-06-12,6.86,6.96
,2026-06-15,6.86,6.96
,2026-06-16,6.86,6.96
,2026-06-17,6.86,6.96
,2026-06-18,6.86,6.96
,2026-06-19,6.86,6.96
,2026-06-23,6.86,6.96
,2026-06-24,6.86,6.96
,2026-06-25,6.86,6.96
,2026-06-26,6.86,6.96
2026-06-26,2026-06-27,9.73,9.83
2026-06-26,2026-06-28,9.73,9.83
2026-06-26,2026-06-29,9.73,9.83
2026-06-29,2026-06-30,9.76,9.86
2026-06-30,2026-07-01,9.76,9.86
2026-07-01,2026-07-02,9.78,9.88
2026-07-02,2026-07-03,9.80,9.90
2026-07-03,2026-07-04,9.83,9.93
2026-07-03,2026-07-05,9.83,9.93
2026-07-03,2026-07-06,9.83,9.93
2026-07-06,2026-07-07,9.89,9.99
2026-07-07,2026-07-08,9.96,10.06
2026-07-08,2026-07-09,10.10,10.20
2026-07-09,2026-07-10,10.24,10.34
2026-07-10,2026-07-11,10.40,10.50
2026-07-10,2026-07-12,10.40,10.50
2026-07-10,2026-07-13,10.40,10.50
2026-07-13,2026-07-14,10.50,10.60
2026-07-14,2026-07-15,10.70,10.80
2026-07-15,2026-07-16,10.75,10.85
2026-07-15,2026-07-17,10.75,10.85
2026-07-17,2026-07-18,10.85,10.95
2026-07-17,2026-07-19,10.85,10.95
2026-07-17,2026-07-20,10.85,10.95
2026-07-20,2026-07-21,10.90,11.00
2026-07-21,2026-07-22,11.00,11.10
2026-07-22,2026-07-23,11.13,11.23
2026-07-23,2026-07-24,11.21,11.31
2026-07-24,2026-07-25,11.37,11.47
2026-07-24,2026-07-26,11.37,11.47
2026-07-24,2026-07-27,11.37,11.47
2026-07-27,2026-07-28,11.54,11.64
2026-07-28,2026-07-29,11.80,11.90
2026-07-29,2026-07-30,11.89,11.99
2026-07-30,2026-07-31,12.15,12.25
2026-07-31,2026-08-01,12.13,12.23
2026-07-31,2026-08-02,12.13,12.23
2026-07-31,2026-08-03,12.13,12.23
2026-08-03,2026-08-04,12.08,12.18
2026-08-04,2026-08-05,12.02,12.12
2026-08-05,2026-08-06,11.86,11.96
2026-08-05,2026-08-07,11.86,11.96
2026-08-05,2026-08-08,11.86,11.96
2026-08-05,2026-08-09,11.86,11.96
2026-08-05,2026-08-10,11.86,11.96
2026-08-10,2026-08-11,11.77,11.87
2026-08-11,2026-08-12,11.71,11.81
2026-08-12,2026-08-13,11.66,11.76
2026-08-13,2026-08-14,11.62,11.72
2026-08-14,2026-08-15,11.58,11.68
2026-08-14,2026-08-16,11.58,11.68
2026-08-14,2026-08-17,11.58,11.68
2026-08-17,2026-08-18,11.55,11.65
2026-08-18,2026-08-19,11.52,11.62
2026-08-19,2026-08-20,11.52,11.62
2026-08-20,2026-08-21,11.52,11.62
2026-08-21,2026-08-22,11.50,11.60
2026-08-21,2026-08-23,11.50,11.60
2026-08-21,2026-08-24,11.50,11.60
2026-08-24,2026-08-25,11.54,11.64
2026-08-25,2026-08-26,11.57,11.67
2026-08-26,2026-08-27,11.71,11.81
2026-08-27,2026-08-28,11.83,11.93
,2026-08-29,11.92,12.02
,2026-08-30,11.92,12.02
2026-08-28,2026-08-31,11.92,12.02
2026-08-31,2026-09-01,12.12,12.22
2026-09-01,2026-09-02,12.26,12.36
2026-09-02,2026-09-03,12.32,12.42
